text|date
"This is the worst fear of a health system being realised.

Our hospitals will be seriously stretched over the coming weeks, those who will end up in hospital have already been infected.

Our actions now will prevent hospital admissions in 2-3 weeks, it’s up to us all.

#StayHome https://t.co/jyLbt8t5qw"|2021-01-10 23:31:02
"Things in Yokohama are really serious 

Please #StayHome https://t.co/4KdxuZN6sY"|2021-01-10 23:30:37
@ClaireByrneLive @RTEOne funny how Richard Chambers and @VirginMediaNews manage to communicate this without patronising voyeurism and flouting of lockdown rules. @BAItweets @cathmartingreen #StayHome https://t.co/FIoiLl0Ver|2021-01-10 23:29:28
Our much loved &amp; respected senior Hon Vice President of @CFOBUK &amp; Senior VP of the Bangladesh Catering Association UK is in ICU with COVID-19. We are praying for his speedy recovery. Please #StayHome and thank you #NHS 💙 for taking care great care of him. #StayHomeSaveLives 🇧🇩 https://t.co/pzWearqnqr|2021-01-10 23:28:50
@ClaireByrneLive These people are putting themselves at risk merely by going to work. You have no need to be there. #StayHome|2021-01-10 23:28:35
If you’re so concerned that you’ll get COVID-19 that you’re dressed in what can only be described as a space suit, maybe just stay home. #WearAMask #StayHome|2021-01-10 23:26:59
"What say you, @SAMSclub__ ?
#Maskup or #StayHome 
👇👇👇your employees &amp; other shoppers aren’t safe. https://t.co/kpBLbnZ9Jb"|2021-01-10 23:26:42
“I think I can, I think I can” No you can’t drive in the midst of a winter storm. Stay home and save @MHPTroopC and other agencies the trouble of pulling you out of a ditch or worse. #StaySafe and #StayHome until this has passed https://t.co/NOEeOgnPbK|2021-01-10 23:25:43
Backlog of Positive Swabs and high Hospitalisations rate started before official Confirmed #COVID19 cases, indeed assume that anyone you meet is Positive #StayHome 🙏 https://t.co/WtTnPYOC8m https://t.co/n9O9ERwuDA|2021-01-10 23:25:40
Kudos to the cop he’d the patience of a saint dealing politely with that fashy tool. Hadn’t a notion what #coercivecontrol actually means. Insulting actual victims of #domesticviolence  #lockdown #StayHome #StayHomeSaveLives #GetVaccinated https://t.co/ZwtuNAqxEd|2021-01-10 23:25:20
