text|date
Level 1 lockdown looking imminent. #StayHome https://t.co/jYrNH4zhHr|2021-01-08 23:59:45
Today is National Children’s Day in #Thailand (วันเด็กแห่งชาติ). Normally this is a fun day for kids with lots of free stuff and activities. But, if you live in one of the 28 red provinces, it’s advisable this year to #StayHome to save lives #COVID19 #วันเด็กแห่งชาติ https://t.co/7QwmhRC2Ih|2021-01-08 23:58:46
Dear Floridians. We need to course correct. #WearAMask #StayHome what we do today can make a difference! https://t.co/nexJV4q4jW|2021-01-08 23:58:26
I think it’s time to consider that this virus is out of control. We don’t know where this virus is and for that reason it’s time to close all libraries in the UK’s #ProtectLibraryWorkers #library #StayHome #savelives #savenhs #nationallockdown #closethelibraries #unison|2021-01-08 23:58:14
My god, today’s #COVID19 numbers are beyond tragic. People, please #StayHome  unless completely necessary, and always #WearAMask. This thing is raging.|2021-01-08 23:57:52
Unpacking my bags &amp; car this morning as the 5 day #Woodford Festival Bushcamp at #Woodfordia has sadly been cancelled due to the #coronavirus #COVID19 lockdown. I know it’s really important for us in #Brisbane right now to try to #stayathome #stayhome &amp; I’m going to do just that! https://t.co/67h9KuHu1h|2021-01-08 23:57:47
i have a meet and greet and I want him to write me a tattoo pls #StayHome|2021-01-08 23:56:22
need to try on something and retake these, which one should I do next #foodiefriday #Tailgate #fauxfriday #shoefetish #stayhome #causes #gooutside #socialdistancing #HappyHour  #ootd #ootn #wyw https://t.co/pWSWYrGIlS|2021-01-08 23:56:10
night guys see u tomorrow!! i miss 1d bye and please #StayHome &amp; stay safe !!!!|2021-01-08 23:56:08
👏👏 This 👇 Personal responsibility these days appears to be non-existent - far better to blame a government 🤦‍♀️ #donttravel #itsapandemicFFS #StayHome https://t.co/PFbPuuOB2Y|2021-01-08 23:55:28
"#StayAtHomeSaveLives  Our daughter is an #NHS #student #nurse in #London she can't, we're worried sick.
Please #WearAMask or even better #StayHome"|2021-01-08 23:55:24
"Time to do a annotate the daily COVID graph.

#coronavirusuk #Covid_19 #England #lockdown #NHS #StayHome #Corona https://t.co/JvUsdmdXhi"|2021-01-08 23:55:19
1 in 30 people in london has contracted covid. thats just beyond appalling and horrifying. please PLEASE FOLLOW THE DAMN RULES AND STAY TF HOME !!!!!! #StayHome #WearAMask https://t.co/vPFWzWRq5D|2021-01-08 23:54:47
Stay away from the Inauguration.    We don't need photo ops.         Pandemic raging.    Cold as hell in DC. #StayHome|2021-01-08 23:54:47
"Staying home doesn't have to be boring!

#StayHome #BeSafe #Coronavirus #Covid19
https://t.co/tXCbRxsjTl"|2021-01-08 23:54:02
"@StarWarsAllIn 73 2021 Preview
@WampasLair 409 #TheMandalorian Season 2 Recap
@TalkWithMyHans_ #YouTube #LiveChat #TheMandalorian 
@RBatSWNN 
finished my Friday afternoon #StayHome #StarWars podcast playlist ...
Ain't done yet ... finish Friday night ... more comin' ..."|2021-01-08 23:54:01
The single most sensible thing Gove has ever tweeted 👇 #StayHome https://t.co/yW6acnDGZA|2021-01-08 23:53:33
Remember the pride from London 2012 .. now watch this clip and appreciate the devastating impact of covid. #StayHome #WearAMask https://t.co/LqXaaW7WqK|2021-01-08 23:52:51
"Interesting thread on the importance of reducing community transmission in #COVID19 

- how we can do it

- why we must do it 

Having an #elimination strategy is the only way to avoid recurring restrictive measures 

#StayHome https://t.co/2PYEpLs7Ld"|2021-01-08 23:52:31
"#MovieReview of #WWII #film The Train.
https://t.co/dtUwtI3oIH

#StayHome
#COVID19
#Zorronavirus
#FridayFeeling
#FridayVibes
#FridayMotivation
#FridayThoughts
#FridayFunDay
#FlashbackFriday
#physicalmedia
#bloggerstribe 
#BloggersHood #bloggingcommunity https://t.co/Nb0yYmDKNT"|2021-01-08 23:51:04
Lockdown #saturdaybreakfast #coconutflour #flatbread and #tofubacon and #tea #vegan #glutenfree #lowcarb #beeakfastofchampions #stayhome #staysafe #wearamask #brisbanelockdown https://t.co/Xs2bWealeN|2021-01-08 23:50:44
"Well its #HappyHour on  #MyFablyfeFriday #PizzaNaan &amp; mixed greens paired with #carmenère by @vinedosmarchigue I found at @traderjoes_wine 

#foodneedslove #HappyHours2021 #foodandwine #stayhome @ New York, New York https://t.co/q3upYs9Z2X"|2021-01-08 23:50:19
Welcome home from #Christmas the #Spokane #COVID19 illness numbers skyrocketed to 600+ and now hospitalized jumping at record!! #StayHome #WearAMask #BeSafe #RespectOthers @spokanehealth @VisitSpokane CAN NOT OPEN BUSINESS WHEN #Virus RAMPANT🦠💉🦠😷🦠|2021-01-08 23:49:35
Great photo! We didn't even call each other to coordinate! #twins 😉 VERY busy stroke service @Sunnybrook - so thankful for @neuroccm this week 🙏 To the people of Ontario: PLS STAY HOME #StayHome #StaySafe https://t.co/fweq0w5CFZ|2021-01-08 23:49:08
