text|date
"https://t.co/BueYud6LDO

Thoughts are prayers are with all those passed and their families. A reminder that we all must take this very seriously. Things will get better soon, but in the meantime we must stay safe and protect others, ourselves and our NHS. 

#Covid19UK #StayHome"|2021-01-09 23:58:42
Woke up with a tension headache so spending some quality time in bed #lockdown #brisbane #pepperplath #catlife #chonkycat #CatsOfTwitter #lawcat #pillowhog #bedhog #lawstudent #lawstudentlife #lawstudentproblems #lawschool #lawschoollife #lawschoolproblems #naplife #StayHome https://t.co/dPsNb4yaPA|2021-01-09 23:58:36
"📌  🇺🇸 reported more #COVID19 cases &amp; deaths last week than any previous during the pandemic

📌 And &gt;4,080 deaths on Thursday

📌 In LA county 1 person is dying every 8 minutes

Do your part &amp; Stop The Spread!

Wear a Mask &amp; #StayHome

#DemVoice1
#wtpBLUE
https://t.co/wAfG0UV0Df"|2021-01-09 23:58:07
"📌  🇺🇸 reported more #COVID19 cases &amp; deaths last week than any previous during the pandemic.

📌 And &gt; 4,080 deaths on Thursday 

📌 In LA county 1 person is dying every 8 minutes.

Do your part &amp; Stop The Spread!

Wear a Mask &amp; #StayHome

#DemVoice1
https://t.co/hW2M8PgFyQ https://t.co/tZrKTdQXt5"|2021-01-09 23:58:04
#Pleasestayhome immunocompromised folks are hunkered down. I’m glad you had a nice NYE party with 70+ folks. #stayhome|2021-01-09 23:58:03
This is Live Aid. 72,000 people were there. Over 80,800 people have died from #Covid19 in the UK. More than in this picture! FFS! Please, take this seriously! #StayHome #ProtectTheNHS #SaveLives #Lockdown https://t.co/SIdYGfDl6v|2021-01-09 23:56:12
@PM2021DGB @coinkit_ #StayHome Nice|2021-01-09 23:56:01
@PM2021DGB @coinkit_ #StayHome Nice|2021-01-09 23:55:55
"Global Coronavirus Status :
Confirmed : 74506920
Deaths : 1648251
Recovered : 37934003
Recovery rate : 95%
#Covid_19 #StayHome"|2021-01-09 23:55:42
Women #StayHome #WearAMask Keep your legs closed. The rules are pretty easy to follow|2021-01-09 23:55:35
#southern #eggwhites french #toast #avocado #Oranges #saturday #brunch #BeSafe #StayHome #Coronavirus #COVID-19 #Healthy #Eating #Vitamin C #Vitamin D #Zinc #Alkaline your #body https://t.co/nZBqxzGehe|2021-01-09 23:53:59
"@Dr2NisreenAlwan They do more than protect us. They save &amp; rescue us and I can never sufficiently express my gratitude and express.

#StayHome"|2021-01-09 23:53:48
"😷🎨 With COVID still in the air we encourage you to remain safe. 

This reusable face mask will fit you nicely thanks to its adjustable nose wire, elastic band + polyester microfiber material! 

👉🏾 https://t.co/l9ggESUcDr 👈🏾

#StayHome #WearAMask #SocialDistancing #shopsmall https://t.co/KjrQZgDTkU"|2021-01-09 23:53:45
Goodnight @BeckyLynchWWE you are the best female wrestler I have ever seen you always make me smile when I’m upset 😢 I really miss you please give me a follow back on here and Instagram when you get the chance #TakeCare #StayHome #staysafe https://t.co/TecjGTUKrj|2021-01-09 23:52:35
@PM2021DGB @coinkit_ #StayHome Nice|2021-01-09 23:51:47
@PM2021DGB @coinkit_ #StayHome Nice|2021-01-09 23:51:32
@PM2021DGB @coinkit_ #StayHome Nice|2021-01-09 23:51:24
#Physicians, #nurses, technologists - #FrontLineHeroes are getting sick. Getting #covid. Because we cannot #StayHome. Please. For us. For our families. Don’t go out if you don’t NEED to.|2021-01-09 23:50:43
After listening to the Quebec Curfew Alert... Who else feels like we are living in the pages of George Orwell’s ‘1984!’ 😦 #StayHome #StaySafe|2021-01-09 23:49:45
The Bay Area remains under the regional stay at home order.  Current Available ICU Capacity: 3.0%.  more https://t.co/2mxLcjiLuU  #COVID19 #StayHomeOrder  #StayHome https://t.co/yXhirx3dEK|2021-01-09 23:49:45
"📌  🇺🇸 reported more #COVID19 cases &amp; deaths last week than any previous during the pandemic.

📌 And &gt; 4,080 deaths on Thursday 

📌 In LA county 1 person is dying every 8 minutes.

Do your part &amp; Stop The Spread!

Wear a Mask &amp; #StayHome

#DemVoice1
https://t.co/xgbTyASJhr"|2021-01-09 23:49:17
"@BeedgeLbh Morningggg Beedge...have a lovely sunday buddy.. ☕☕🤗😉😘😇☘️😎💕💕💕

#StayHomeSaveLives
#StayHome
#SundayFunday https://t.co/Wx2n6kHx1H"|2021-01-09 23:48:42
"You just got  to love this Country 🤣,.. ""them say even if you no fear Covid-19,Abeg fear Nigerian Police oh 🚨"" ... 
Panti After Party.. 🤣🤣

  @PoliceNG We hail thee.  
#stayhome 
#secondwave 
#Nigerians 
#EndSARS https://t.co/cjlPrW0quh"|2021-01-09 23:48:23
7110 more people with Covid today in Massachusetts. Friends, Family, Neighbors. 2291 in the hospital and 445 in the ICU. 90 passed away. Perhaps you are going to restaurants or shopping, seeing friends. I want those things too. We can’t. #StayHome. If u go out #WearAMask|2021-01-09 23:47:35
"My grandad recieved his #PfizerBioNTech #CovidVaccine today, he's 88 and lost my nan to #COVID 30 days ago. 

Thank you to all involved in the vaccine programme, from the scientists, logistics, admin &amp; vaccinators 💙

#Pfizervaccine #NHS #StayHome #ProtectTheNHS #SaveLives https://t.co/e0wmr6kg4H"|2021-01-09 23:47:26
@__ShirMcC__ @Antcon7062 That is why we need to make this the #LastLockdown and in the meantime mind our own mental health and that of healthcare staff and patients by making sure we #stayhome unless essential.|2021-01-09 23:47:11
Good night everyone going to bed early feeling bad today #StayHome 😫|2021-01-09 23:46:38
"📌  🇺🇸 reported more #COVID19 cases &amp; deaths last week than any previous during the pandemic.

📌 And &gt; 4,080 deaths on Thursday 

📌 In LA county 1 person is dying every 8 minutes.

Do your part &amp; Stop The Spread!

Wear a Mask &amp; #StayHome

#DemVoice1
https://t.co/5gJHXEpTyl"|2021-01-09 23:43:07
Lots of great programming from @cbbc to support learning from home, something for everyone👍 #homelearning #StayHome https://t.co/Q5C9sgBJI3|2021-01-09 23:42:55
"Please see COVID update and #WearYuhMask

#JISNews
#COVID19
#StayHome https://t.co/P6ek3GdWIA"|2021-01-09 23:42:48
"📌  🇺🇸 reported more #COVID19 cases &amp; deaths last week than any previous during the pandemic.

📌 And &gt; 4,080 deaths on Thursday 

📌 In LA county 1 person is dying every 8 minutes.

Do your part &amp; Stop The Spread!

Wear a Mask &amp; #StayHome

#DemVoice1
https://t.co/7MJ6azJbOG"|2021-01-09 23:42:26
@Louis_Tomlinson Same To you,#StaySafe ,#StayHome hugs &amp; kisses from Brazil. 😘😘😘|2021-01-09 23:42:13
"It's hard to resist this #NVFMilitarySportWatch🏈⌚
15% OFF Code: WINTER20
Claim yours=&gt; https://t.co/kyM8hbpO5c

#womenmanfashion #winter #style #travel #women #men #gift #WATCH #stayhome #NFL #NFLPlayoffs #SuperWildCard #INDvsBUF #LARvsSEA #TBvsWAS #CHIvsNO #CLEvsPIT #BALvsTEN https://t.co/RPCl8LSIoF"|2021-01-09 23:42:02
@Deisesupes Omg that is huge for Waterford. #StayHome|2021-01-09 23:41:40
"Cases: 89,516,439 (+76,534) 
Deaths: 1,924,004 (+1,441) 
Recovered: 49,666,486 (+0) 
Active Cases: 39,849,953 (44.52%)
Completed Cases: 51,590,490 (57.63%)
Mortality Rate: 2.15% (No Change)
Case Fatality Rate: 3.73% (No Change)

#COVID19 #Coronavirus #StayHome"|2021-01-09 23:41:03
How COVID-19 Attacks The Brain And May, In Severe Cases, Cause Lasting Damage : Shots - Health News : NPR #wearamask #socialdistance #stayhome https://t.co/Cv5ly3tb8M|2021-01-09 23:40:33
"It's hard to resist this #NVFMilitarySportWatch🏈⌚
15% OFF Code: WINTER20
Claim yours=&gt; https://t.co/A68YLkNnoT

#womenmanfashion #winter #style #travel #women #men #gift #WATCH #stayhome #NFL #NFLPlayoffs #SuperWildCard #INDvsBUF #LARvsSEA #TBvsWAS #CHIvsNO #CLEvsPIT #BALvsTEN https://t.co/BIlITZlUUv"|2021-01-09 23:40:26
I’m so sick of people sharing fake posts about covid and vaccines, they really don’t understand the impact they have on people. Please base your vaccination choices on actual facts and not fb posts! #Covid #StayHome #ThanksHealthHeroes|2021-01-09 23:39:58
