text|date
People just wear your mask once outdoors ! If you don’t have to go out keep your ass at home . No need for this pandemic to still keep everybody on the fritz . #COVIDSUCKS #WearAMask #StayHome|2021-01-06 23:58:28
"Who's looking for a fun way to spend their Wednesday evening while being able to #StayHome? Our remote game play rooms are tons of fun, all in the comfort of your own home! We only have one spot left so book online now :) 

The Mayor's Office - 9:30pm

https://t.co/iR26hYEfp5"|2021-01-06 23:55:15
"@amongey @peter_lydon Government should be listening to @cmoireland and the NPHET  . They say STAY AT HOME.  Scared that government is ignoring advice again just like the start of December.  We are seeing the results of that now.
Listen to Tony Holohan and NPHET,  not to politicians #StayHome"|2021-01-06 23:54:12
Daughter had her first virtual university interview today @UniofExeter. Well organised,  efficient &amp; supportive. She did so well considering before she had to go to school sit a Btec exam that wasnt cancelled @educationgovuk. #COVID19 #StayHome Stressful but resilient #proudmum|2021-01-06 23:53:50
Tonight we were joined by teenagers from @MarpleHall @BCOldham and @stockportgs who spend their evening packing food parcels, allowing our more vulnerable volunteers to #StayHome - Don’t believe what you read because THIS is the #youth of today! #lockdown2021 #youth #COVID19 https://t.co/NwyBWxdq5o|2021-01-06 23:51:45
Impossible to believe this. If @NormaFoleyTD1 did not consult the @CMOIreland @ronan_glynn is she not playing Russian Roulette with our #LeavingCert2021 lives their parents &amp;family bubble. @MichealMartinTD has pleaded with us to #StayHome to cut the chain of transmission. https://t.co/moIadYiAsi|2021-01-06 23:51:12
"Cases: 87,015,526 (+0) 
Deaths: 1,878,581 (+729) 
Recovered: 48,709,439 (+19,561) 
Active Cases: 38,306,087 (44.02%)
Completed Cases: 50,588,020 (58.14%)
Mortality Rate: 2.16% (No Change)
Case Fatality Rate: 3.71% (No Change)

#COVID19 #Coronavirus #StayHome"|2021-01-06 23:50:02
Thanks @SunterraMarket for the yummy dinner!!  @AHS_media #StayHome #StaySafe https://t.co/03Tw2SaxV6|2021-01-06 23:49:58
"MOHW records 100 new #COVID19 cases, 2 new deaths and 82 recoveries.

#Belize COVID Stats | 6th Jan 2021
•  11,108 Total Cases
•  10,312 Recovered
•  260 Deaths
•  536 Active 
#StayHome #WearAMask https://t.co/CVAqNWFwlQ"|2021-01-06 23:49:45
"If this doesn't make people sit up and take notice, I don't know what will. God bless the NHS.
#StayHome https://t.co/K11ojI4LT3"|2021-01-06 23:49:14
"So  much for having ""a lovely evening."" What a shame! #StayHome #StaySafe https://t.co/T7A6TFLOFg"|2021-01-06 23:48:49
"Cases: 87,015,526 (+67,514) 
Deaths: 1,877,852 (+0) 
Recovered: 48,689,878 (+0) 
Active Cases: 38,325,648 (44.04%)
Completed Cases: 50,567,730 (58.11%)
Mortality Rate: 2.16% (No Change)
Case Fatality Rate: 3.71% (No Change)

#COVID19 #Coronavirus #StayHome"|2021-01-06 23:48:03
"@3AW693 #Cricket v #Covid19 
#Coronavirus is very very PAINFUL Every breathe is agony for the man who’s lungs are full of virus on the right.  Please #StayHome or #WearAMask #SydneyTest https://t.co/5MbU9H0ohI"|2021-01-06 23:47:41
"1,014 new confirmed COVID cases and 3 more deaths in the last 24 hours in Kern County.

Call 211 for a FREE COVID-19 test.😷
#CovidCrisis
#StayHome
#StaySafe
#CoronaVirus https://t.co/lIIQSeKs56"|2021-01-06 23:45:46
This is not a tough decision. He needs to be fired. He is a hypocrite vacationing when he was supposed to stay home, while his hospital staff are overwhelmed and burnt out watching patients die alone. It’s pretty simple really. #DougFord #StayHome #onpoli https://t.co/LtivZBPkwe|2021-01-06 23:44:38
kolme / The liar #StayHome and make music #WithMe https://t.co/dCkOdB89qM @YouTubeより|2021-01-06 23:42:49
For anyone /anyone’s family near the capital right now, I hope you all are safe &amp; are staying sheltered where you are💚 i’m so mad the country is like this #StayHome #capital #WearYourMask #America|2021-01-06 23:42:13
STAY SAFE! #StayHome #BlackLivesMatter #ArrestTrump #CongressIsBroken https://t.co/U28qpoBxdW|2021-01-06 23:42:06
"“Will shock &amp; upset many viewers”
Good!!!  People need to see this and be shocked into doing the right thing and following the rules to help save lives and protect the NHS - it’s a pandemic not a bloody scam!!

#StayHome #StayHomeSaveLives #ProtectTheNHS https://t.co/qw9owg43WS"|2021-01-06 23:41:14
"The one who stayed away saved all the rest.

#COVID19 #coronavirusuk #coronavirus #CoronavirusStrain #Corona #StayAtHome #StayHome #StaySafe #StaySafeStayOpen #StayHomeSaveLives #COVID19ireland #Covid_19 #CovidVaccine #COVIDIOTS #COVIDIOT #Covid19UK #SaveOurFuture #NHS #NHSJobs https://t.co/IbrGSZMAsO"|2021-01-06 23:40:42
In the middle of all of this, we can’t forget we are in the middle of a serious &amp; deadly pandemic. @SecMandyCohen announced a new Secretarial Directive today, telling North Carolinians to stay home except for essential activities &amp; avoid gathering, especially indoors. #StayHome|2021-01-06 23:38:34
Because after hours of chaos and lawlessness in the USA, your Twitter feed needs something happy on it. Take care. Be safe. #DogsofTwittter  #StayHome https://t.co/1MpdNI4Hx7|2021-01-06 23:38:07
"To our amazing key workers     Special discount code for all those working on the frontline. New fragrances over the lockdown, look out for updates while we also be Home Schooling our monkeys 🐵 
Lessons on candle making ☺️ 
#clapforheroes #Lockdown3 #Candles #StayHome #waxmelts https://t.co/68WfpUNtzn"|2021-01-06 23:36:57
"This 2-burner stainless steel tabletop grill is built for the BBQ-grillers on the go.

Power Buy Now! -&gt; https://t.co/wuiRt9wNQC

#Costway #tabletopgrill #portablegriller #shopping #promo #bigdiscount #socialshopping #socialdistancing #shopfromhome #stayhome #staysafe https://t.co/pETbAU3RVE"|2021-01-06 23:36:47
"Everyone be safe 🤘🙏 
#StayHome #nomoreviolence"|2021-01-06 23:36:46
"Think of the lives it will save..

#skypapers #coronavirus #lockdown #StayHome https://t.co/RCZ2hGDsjf"|2021-01-06 23:36:12
Stay safe with everything that is going on! Don't forget to Treat People With Kindness! #StaySafe #StayHome|2021-01-06 23:35:49
Right ..soo the words “ could soon “ is a sticky one still . Should have been law since that rassclarting covid reached UK #Covid19UK #COVID19 #coronavirusuk #bottlejobs #StayHome https://t.co/cEVbj3G2Vo|2021-01-06 23:35:26
Dear God!  So we're fighting a health war and domestic terrorism at once.  As if we don't have enough social ills on the agenda.  Don't know how, but we have to keep hope alive.  #StayHome #StaySafe https://t.co/FOnAmsDHTc|2021-01-06 23:34:12
Just going to leave this here #EarlyYears #Nurseries #Schools #Covid #Lockdown #StayHome https://t.co/JPdlLU2v9d|2021-01-06 23:33:41
"@amyriscool Koup-Koup K'achoo. Sad and disgusting. It's an intentional genocide.

Right now, #StayHome  and if you're not yet, #WearADamnMask . Be extra careful.

Keep your phone charged, in and out of home. Esp. out. Be ready to record or call for help- whether that's trusting 911 or a pal."|2021-01-06 23:33:05
Keep your clap to yourselves! Stay at home, follow the rules and stay away from hospitals unless absolutely necessary #clapforheros #StayHome|2021-01-06 23:33:03
As an English Teacher #normafoley would get 0% for not reading the guidelines. The mobilisation of people spreads the #COVID19ireland yet @NormaFoleyTD1 @Education_Ire didn't hear our Taoiseach @MichealMartinTD . @CMOIreland &amp; @ronan_glynn plead with us-cut contacts. #StayHome https://t.co/uI6KBUR4Xn|2021-01-06 23:32:01
"Evidently I’ve  circled back around to the “banana bread” stage in the pandemic wave cycle. #StayHome 
#useupthosebananas #goingbananas #covid2021 https://t.co/CdRkcYLR1A"|2021-01-06 23:31:49
@mariahbcooley @iceinactive They are trying to incite violence &amp; chaos, shoot protesters as in 2014 Ukraine. Trump &amp; Manafort need to be stopped NOW.  #United #Nonviolence #StayHome|2021-01-06 23:29:27
Please read - valuable information about the latest #lockdownuk Let's all work together Rotherham. Check on your vulnerable family/friends/neighbours #KeepSafe #StayHome #ProtectTheNHS #StayConnected #MaskUp#HandsFaceSpace #COVID19 #BeKindToOneAnother #YOUmatter #WEcare 😊😷 https://t.co/5vtlouIeVP|2021-01-06 23:28:22
STAY INSIDE #StayHome https://t.co/dlvNZ653gB|2021-01-06 23:26:23
"@TheStephenRalph @BBCFergusWalsh @meenalsworld There have been more #Covid19UK🦠deaths here in one day today than Australia has had in the whole pandemic.

Care to comment @MattHancock @BorisJohnson 🤔😡?

#NHSblueheart 💙💙#WearAMask #StayHome"|2021-01-06 23:25:39
"From Mexico I observe everything that is happening in the United States. Please don't go out, don't fight, don't take risks and don't risk your family. Stay safe, no one needs more violence in this world.
#StaySafe #StayHome https://t.co/Hk8NpeZQMZ"|2021-01-06 23:25:32
Staying hidden til things calm down out there. Stay safe, Everyone! ❤️ #staysafe #CatsOfTwitter #cat #gato #StayHome https://t.co/HbFnwDEeG7|2021-01-06 23:25:11
"@theidahochef and I had a grand walk this evening...

Really hoovering up all that Vitamin D while it’s around.

#stayhome #StaySafe 

#within5km https://t.co/Ep2klTv51q"|2021-01-06 23:24:17
Tonight ... one of Jodie's favourites Little Mix #StayHome and #dance https://t.co/O5Y1sHcXAF|2021-01-06 23:24:12
@GovernorVA has issued a curfew for Arlington and Alexandria. DC is under siege by white supremacy terrorists and many of their hotels are in VA #StayHome #StaySafe https://t.co/NRQpvJYCnm|2021-01-06 23:23:42
